Date,10years
2007-05-14,10.43 
2007-05-15,
2007-05-16,10.12 
2007-05-17,9.93 
2007-05-18,9.97 
2007-05-21,9.87 
2007-05-22,9.79 
2007-05-24,10.17 
2007-05-25,10.05 
2007-05-28,10.04 
2007-05-29,10.15 
2007-05-30,10.16 
2007-07-06,
2007-07-27,11.16 
2007-08-06,11.46 
2007-08-16,12.86 
2007-10-15,11.44 
2007-10-16,11.47 
2007-10-17,11.52 
2007-10-18,11.58 
2007-10-19,11.58 
2007-10-22,12.06 
2007-10-23,11.86 
2007-10-24,12.02 
2007-10-25,12.02 
2007-10-26,11.90 
2007-10-29,11.90 
2007-10-30,11.87 
2007-10-31,11.92 
2007-11-01,12.00 
2007-11-02,12.00 
2007-11-05,12.00 
2007-11-06,12.07 
2007-11-07,12.31 
2007-11-08,
2007-11-09,12.39 
2007-11-12,
2007-11-13,12.69 
2007-11-14,12.48 
2007-11-16,12.47 
2007-11-19,12.52 
2007-11-21,12.52 
2007-11-22,
2007-11-23,12.47 
2007-11-26,12.53 
2007-11-27,12.69 
2007-11-28,12.69 
2007-11-29,12.69 
2007-11-30,12.78 
2007-12-03,12.88 
2007-12-04,12.95 
2007-12-05,13.12 
2007-12-06,13.10 
2007-12-07,13.02 
2007-12-10,13.10 
2007-12-11,12.99 
2007-12-12,12.99 
2007-12-13,13.06 
2007-12-14,13.38 
2007-12-17,13.21 
2007-12-19,13.09 
2007-12-20,13.09 
2007-12-21,13.06 
2007-12-26,13.19 
2007-12-28,13.23 
2008-01-02,13.23 
2008-01-03,13.07 
2008-01-04,13.09 
2008-01-07,13.05 
2008-01-08,13.00 
2008-01-09,12.98 
2008-01-10,13.05 
2008-01-11,13.01 
2008-01-14,12.97 
2008-01-15,12.95 
2008-01-17,13.01 
2008-02-11,
2008-02-12,
2008-02-13,
2008-02-14,
2008-02-15,
2008-02-18,12.59 
2008-02-19,12.63 
2008-02-20,12.56 
2008-02-21,12.49 
2008-02-22,12.46 
2008-02-25,12.48 
2008-02-26,12.44 
2008-02-27,12.40 
2008-02-28,12.44 
2008-02-29,12.55 
2008-03-03,12.45 
2008-03-04,12.45 
2008-03-05,12.37 
2008-03-06,12.63 
2008-03-07,12.83 
2008-03-10,12.94 
2008-03-11,12.73 
2008-03-12,12.79 
2008-03-13,12.94 
2008-03-14,13.12 
2008-03-17,13.21 
2008-03-18,13.03 
2008-03-19,
2008-03-20,13.25 
2008-03-24,
2008-03-25,13.46 
2008-03-26,
2008-03-27,13.47 
2008-03-28,13.31 
2008-03-31,
2008-04-01,13.29 
2008-04-02,13.32 
2008-04-03,13.26 
2008-04-07,13.34 
2008-04-08,13.34 
2008-04-09,13.42 
2008-04-10,13.41 
2008-04-11,13.42 
2008-04-14,13.43 
2008-04-15,13.50 
2008-04-16,13.57 
2008-04-18,13.66 
2008-04-22,13.99 
2008-04-23,13.85 
2008-04-24,13.90 
2008-04-25,13.81 
2008-04-28,13.96 
2008-04-29,13.96 
2008-04-30,13.59 
2008-05-02,13.07 
2008-05-05,
2008-05-06,
2008-05-07,13.60 
2008-05-08,13.64 
2008-05-12,
2008-05-13,13.52 
2008-05-14,13.69 
2008-05-15,
2008-05-16,13.39 
2008-05-19,
2008-05-20,13.44 
2008-05-21,13.57 
2008-05-23,13.60 
2008-05-26,13.61 
2008-05-27,13.71 
2008-05-29,13.45 
2008-05-30,13.46 
2008-06-02,13.66 
2008-06-03,13.53 
2008-06-04,13.58 
2008-06-05,13.78 
2008-06-06,
2008-06-09,14.42 
2008-06-11,14.42 
2008-06-12,14.44 
2008-06-13,14.58 
2008-06-16,14.68 
2008-06-17,14.56 
2008-06-18,14.39 
2008-06-19,14.37 
2008-06-23,14.44 
2008-06-25,14.43 
2008-06-26,
2008-06-27,
2008-06-30,14.88 
2008-07-01,
2008-07-02,15.04 
2008-07-03,15.09 
2008-07-04,15.16 
2008-07-07,
2008-07-10,14.86 
2008-07-11,14.74 
2008-07-14,
2008-07-15,14.46 
2008-07-16,14.50 
2008-07-17,14.41 
2008-07-18,14.19 
2008-07-21,14.32 
2008-07-22,14.17 
2008-07-23,14.01 
2008-07-24,13.70 
2008-07-25,13.72 
2008-07-28,
2008-07-29,13.91 
2008-07-30,13.72 
2008-07-31,13.74 
2008-08-01,13.53 
2008-08-04,13.58 
2008-08-05,13.42 
2008-08-06,13.50 
2008-08-07,13.65 
2008-08-08,13.76 
2008-08-12,
2008-08-13,13.95 
2008-08-14,13.91 
2008-08-15,13.85 
2008-08-18,13.83 
2008-08-19,13.73 
2008-08-20,13.76 
2008-08-21,13.75 
2008-08-22,13.77 
2008-08-25,13.79 
2008-08-26,13.72 
2008-08-28,
2008-08-29,13.58 
2008-09-01,
2008-09-02,
2008-09-03,13.85 
2008-09-04,14.17 
2008-09-08,14.04 
2008-09-09,
2008-09-10,13.98 
2008-09-11,14.10 
2008-09-12,14.08 
2008-09-15,
2008-09-16,
2008-09-17,
2008-09-18,
2008-09-19,
2008-09-22,14.09 
2008-09-24,14.36 
2008-09-25,14.02 
2008-09-26,14.02 
2008-09-29,14.07 
2008-10-01,13.66 
2008-10-02,13.43 
2008-10-03,13.89 
2008-10-06,14.48 
2008-10-07,15.02 
2008-10-08,
2008-10-09,15.22 
2008-10-10,15.09 
2008-10-13,15.03 
2008-10-14,15.04 
2008-10-15,
2008-10-16,15.24 
2008-10-17,15.26 
2008-10-20,15.66 
2008-10-21,15.89 
2008-10-22,17.42 
2008-10-23,17.03 
2008-10-24,17.91 
2008-10-27,
2008-10-28,17.34 
2008-10-29,16.31 
2008-10-31,17.33 
2008-11-03,17.33 
2008-11-04,17.33 
2008-11-05,17.32 
2008-11-06,17.41 
2008-11-10,16.93 
2008-11-11,16.90 
2008-11-12,16.90 
2008-11-13,16.80 
2008-11-14,16.70 
2008-11-17,16.70 
2008-11-18,16.30 
2008-11-21,17.25 
2008-11-24,17.22 
2008-11-25,17.24 
2008-11-26,16.32 
2008-11-27,17.19 
2008-11-28,16.94 
2008-12-01,16.22 
2008-12-02,15.52 
2008-12-03,15.44 
2008-12-04,15.41 
2008-12-05,15.00 
2008-12-08,14.81 
2008-12-09,15.32 
2008-12-10,14.60 
2008-12-11,15.40 
2008-12-12,15.40 
2008-12-15,15.31 
2008-12-16,15.57 
2008-12-17,14.88 
2008-12-18,14.34 
2008-12-19,14.18 
2008-12-22,14.08 
2008-12-23,13.77 
2008-12-26,13.73 
2008-12-29,13.56 
2008-12-30,12.56 
2009-01-02,13.29 
2009-01-05,12.95 
2009-01-06,12.79 
2009-01-07,13.06 
2009-01-08,13.15 
2009-01-09,12.69 
2009-01-12,11.82 
2009-01-13,12.55 
2009-01-14,12.96 
2009-01-15,12.96 
2009-01-16,12.96 
2009-01-19,12.68 
2009-01-20,12.68 
2009-01-21,12.68 
2009-01-22,12.01 
2009-01-23,12.36 
2009-01-26,13.48 
2009-01-27,13.30 
2009-01-28,13.05 
2009-01-29,12.51 
2009-01-30,12.97 
2009-02-02,12.81 
2009-02-03,12.71 
2009-02-04,12.98 
2009-02-05,13.06 
2009-02-06,12.21 
2009-02-09,13.29 
2009-02-10,13.95 
2009-02-11,13.46 
2009-02-12,13.51 
2009-02-13,13.08 
2009-02-16,12.29 
2009-02-17,13.26 
2009-02-18,13.26 
2009-02-19,13.02 
2009-02-20,13.17 
2009-02-25,13.25 
2009-02-26,12.19 
2009-02-27,12.06 
2009-03-02,12.84 
2009-03-03,12.65 
2009-03-04,12.89 
2009-03-05,12.74 
2009-03-06,12.72 
2009-03-09,11.85 
2009-03-10,12.58 
2009-03-11,11.45 
2009-03-12,12.40 
2009-03-13,
2009-03-16,12.62 
2009-03-17,12.61 
2009-03-18,12.18 
2009-03-19,12.30 
2009-03-20,12.40 
2009-03-23,12.37 
2009-03-24,12.46 
2009-03-25,12.40 
2009-03-26,12.26 
2009-03-27,12.26 
2009-03-30,11.45 
2009-03-31,12.36 
2009-04-01,12.29 
2009-04-02,12.45 
2009-04-03,12.60 
2009-04-06,11.79 
2009-04-07,12.71 
2009-04-08,12.91 
2009-04-09,12.88 
2009-04-13,12.97 
2009-04-14,12.62 
2009-04-15,12.67 
2009-04-16,12.79 
2009-04-17,13.06 
2009-04-20,13.21 
2009-04-22,12.85 
2009-04-23,12.90 
2009-04-24,13.00 
2009-04-27,12.29 
2009-04-28,13.03 
2009-04-29,12.14 
2009-04-30,13.09 
2009-05-04,12.05 
2009-05-05,12.03 
2009-05-06,12.79 
2009-05-07,12.78 
2009-05-08,12.84 
2009-05-11,12.78 
2009-05-12,12.68 
2009-05-13,12.63 
2009-05-14,11.81 
2009-05-15,12.29 
2009-05-18,11.27 
2009-05-19,11.25 
2009-05-20,11.91 
2009-05-21,12.07 
2009-05-22,11.96 
