Date,10years
2010-01-04,3.5990 
2010-01-05,3.6000 
2010-01-06,3.6110 
2010-01-07,3.5790 
2010-01-08,3.5740 
2010-01-11,3.5490 
2010-01-12,3.5150 
2010-01-13,3.5310 
2010-01-14,3.5410 
2010-01-15,3.5130 
2010-01-18,3.4870 
2010-01-19,3.5250 
2010-01-20,3.4760 
2010-01-21,3.4830 
2010-01-22,3.4420 
2010-01-25,3.4650 
2010-01-26,3.4470 
2010-01-27,3.4410 
2010-01-28,3.4570 
2010-01-29,3.4790 
2010-01-31,
2010-02-01,3.4570 
2010-02-02,3.4600 
2010-02-03,3.4850 
2010-02-04,3.5040 
2010-02-05,3.5080 
2010-02-08,3.4920 
2010-02-09,3.5050 
2010-02-10,3.5060 
2010-02-11,3.5480 
2010-02-12,3.5270 
2010-02-15,3.5420 
2010-02-16,3.5420 
2010-02-17,3.5070 
2010-02-18,3.5590 
2010-02-19,3.5880 
2010-02-22,3.5530 
2010-02-23,3.4270 
2010-02-24,3.4140 
2010-02-25,3.4100 
2010-02-26,3.4270 
2010-02-28,
2010-03-01,3.4160 
2010-03-02,3.4150 
2010-03-03,3.4300 
2010-03-04,3.4270 
2010-03-05,3.4640 
2010-03-08,3.4510 
2010-03-09,3.4280 
2010-03-10,3.4570 
2010-03-11,3.4720 
2010-03-12,3.5070 
2010-03-15,3.4520 
2010-03-16,3.4350 
2010-03-17,3.4000 
2010-03-18,3.4430 
2010-03-19,3.4210 
2010-03-22,3.3890 
2010-03-23,3.3720 
2010-03-24,3.4030 
2010-03-25,3.4610 
2010-03-26,3.4870 
2010-03-29,3.4500 
2010-03-30,3.4610 
2010-03-31,3.4190 
2010-04-01,3.4160 
2010-04-02,3.4170 
2010-04-06,3.4570 
2010-04-07,3.4500 
2010-04-08,3.4270 
2010-04-09,3.4550 
2010-04-12,3.4570 
2010-04-13,3.4570 
2010-04-14,3.4310 
2010-04-15,3.4340 
2010-04-16,3.4070 
2010-04-19,3.3800 
2010-04-20,3.3840 
2010-04-21,3.4020 
2010-04-22,3.3780 
2010-04-23,3.3840 
2010-04-26,3.3580 
2010-04-27,3.3570 
2010-04-28,3.3350 
2010-04-29,3.3460 
2010-04-30,3.3020 
2010-05-03,3.3320 
2010-05-04,3.2400 
2010-05-05,3.1450 
2010-05-06,3.1780 
2010-05-07,3.1120 
2010-05-10,3.2470 
2010-05-11,3.2200 
2010-05-12,3.2110 
2010-05-13,3.1930 
2010-05-14,3.1250 
2010-05-17,3.1290 
2010-05-18,3.0800 
2010-05-19,3.0360 
2010-05-20,2.9140 
2010-05-21,2.9200 
2010-05-24,2.9060 
2010-05-25,2.8490 
2010-05-26,2.9200 
2010-05-27,2.9620 
2010-05-28,2.9570 
2010-05-31,2.9130 
2010-06-01,2.9910 
2010-06-02,2.9780 
2010-06-03,3.0320 
2010-06-04,3.0330 
2010-06-07,3.0560 
2010-06-08,3.1070 
2010-06-09,3.0590 
2010-06-10,3.0880 
2010-06-11,3.0500 
2010-06-14,3.1007 
2010-06-15,3.1210 
2010-06-16,3.1060 
2010-06-17,3.0860 
2010-06-18,3.1330 
2010-06-21,3.1130 
2010-06-22,3.0700 
2010-06-23,3.0840 
2010-06-24,3.0770 
2010-06-25,3.0870 
2010-06-28,3.1270 
2010-06-29,3.0570 
2010-06-30,3.0550 
2010-07-01,3.0191 
2010-07-02,2.9970 
2010-07-05,2.9250 
2010-07-06,2.9670 
2010-07-07,2.9790 
2010-07-08,3.0000 
2010-07-09,2.9830 
2010-07-12,2.9370 
2010-07-13,2.9760 
2010-07-14,3.0035 
2010-07-15,3.0110 
2010-07-16,2.9650 
2010-07-19,2.9996 
2010-07-20,2.9870 
2010-07-21,2.9740 
2010-07-22,2.9860 
2010-07-23,2.9970 
2010-07-26,3.0210 
2010-07-27,3.0380 
2010-07-28,3.0070 
2010-07-29,3.0050 
2010-07-30,2.9594 
2010-07-31,
2010-08-02,2.9850 
2010-08-03,2.8840 
2010-08-04,2.8810 
2010-08-05,2.8560 
2010-08-06,2.7810 
2010-08-09,2.7810 
2010-08-10,2.8220 
2010-08-11,2.7320 
2010-08-12,2.7210 
2010-08-13,2.7290 
2010-08-16,2.6650 
2010-08-17,2.6980 
2010-08-18,2.6360 
2010-08-19,2.6150 
2010-08-20,2.5920 
2010-08-23,2.6040 
2010-08-24,2.4990 
2010-08-25,2.4820 
2010-08-26,2.5020 
2010-08-27,2.4910 
2010-08-30,2.4980 
2010-08-31,2.4720 
2010-09-01,2.5730 
2010-09-02,2.5900 
2010-09-03,2.6150 
2010-09-06,2.6320 
2010-09-07,2.5900 
2010-09-08,2.6020 
2010-09-09,2.6220 
2010-09-10,2.6870 
2010-09-13,2.7430 
2010-09-14,2.6800 
2010-09-15,2.7410 
2010-09-16,2.7840 
2010-09-17,2.7910 
2010-09-20,2.7960 
2010-09-21,2.7960 
2010-09-22,2.7360 
2010-09-23,2.6660 
2010-09-24,2.7270 
2010-09-27,2.6380 
2010-09-28,2.6180 
2010-09-29,2.6220 
2010-09-30,2.6740 
2010-10-01,2.6490 
2010-10-04,2.6390 
2010-10-05,2.6460 
2010-10-06,2.5980 
2010-10-07,2.6520 
2010-10-08,2.6265 
2010-10-11,2.6150 
2010-10-12,2.5990 
2010-10-13,2.6393 
2010-10-14,2.6300 
2010-10-15,2.6770 
2010-10-18,2.7150 
2010-10-19,2.7650 
2010-10-20,2.7830 
2010-10-21,2.8050 
2010-10-22,2.8120 
2010-10-25,2.7710 
2010-10-26,2.8180 
2010-10-27,2.8750 
2010-10-28,2.8570 
2010-10-29,2.9200 
2010-10-31,
2010-11-01,2.8840 
2010-11-02,2.8930 
2010-11-03,2.8250 
2010-11-04,2.8500 
2010-11-05,2.8460 
2010-11-08,2.8514 
2010-11-09,2.8620 
2010-11-10,2.8950 
2010-11-11,2.8888 
2010-11-12,2.9570 
2010-11-15,2.9950 
2010-11-16,3.0490 
2010-11-17,3.0170 
2010-11-18,3.1150 
2010-11-19,3.1070 
2010-11-22,3.0620 
2010-11-23,3.0280 
2010-11-24,3.1250 
2010-11-25,3.1460 
2010-11-26,3.1470 
2010-11-29,3.2260 
2010-11-30,3.1740 
2010-12-01,3.2310 
2010-12-02,3.2610 
2010-12-03,3.3030 
2010-12-06,3.2670 
2010-12-07,3.3200 
2010-12-08,3.3690 
2010-12-09,3.2960 
2010-12-10,3.3160 
2010-12-13,3.3240 
2010-12-14,3.3380 
2010-12-15,3.3770 
2010-12-16,3.4230 
2010-12-17,3.4160 
2010-12-20,3.3450 
2010-12-21,3.3390 
2010-12-22,3.3100 
2010-12-23,3.3480 
2010-12-24,3.3550 
2010-12-27,3.4140 
2010-12-28,3.3520 
2010-12-29,3.4340 
2010-12-30,3.3680 
2010-12-31,3.3500 
2011-01-03,3.3610 
2011-01-04,3.3090 
2011-01-05,3.3080 
2011-01-06,3.3690 
2011-01-07,3.3530 
2011-01-10,3.3380 
2011-01-11,3.3680 
2011-01-12,3.4270 
2011-01-13,3.4430 
2011-01-14,3.3850 
2011-01-17,3.4300 
2011-01-18,3.5200 
2011-01-19,3.4730 
2011-01-20,3.5120 
2011-01-21,3.5320 
2011-01-24,3.4970 
2011-01-25,3.4840 
2011-01-26,3.5260 
2011-01-27,3.5800 
2011-01-28,3.5530 
2011-01-31,3.5320 
2011-02-01,3.5920 
2011-02-02,3.5930 
2011-02-03,3.5910 
2011-02-04,3.6080 
2011-02-07,3.6280 
2011-02-08,3.6340 
2011-02-09,3.6770 
2011-02-10,3.6560 
2011-02-11,3.6380 
2011-02-14,3.6960 
2011-02-15,3.6780 
2011-02-16,3.6340 
2011-02-17,3.5810 
2011-02-18,3.6100 
2011-02-21,3.5620 
2011-02-22,3.5470 
2011-02-23,3.5060 
2011-02-24,3.5480 
2011-02-25,3.5360 
2011-02-28,3.5500 
2011-03-01,3.5530 
2011-03-02,3.5760 
2011-03-03,3.6760 
2011-03-04,3.6480 
2011-03-07,3.6820 
2011-03-08,3.6465 
2011-03-09,3.6630 
2011-03-10,3.6635 
2011-03-11,3.5950 
2011-03-14,3.5620 
2011-03-15,3.5010 
2011-03-16,3.4440 
2011-03-17,3.5000 
2011-03-18,3.5130 
2011-03-21,3.5790 
2011-03-22,3.6000 
2011-03-23,3.6120 
2011-03-24,3.6250 
2011-03-25,3.6160 
2011-03-28,3.6660 
2011-03-29,3.6900 
2011-03-30,3.6950 
2011-03-31,3.7150 
2011-04-01,3.7340 
2011-04-04,3.7270 
2011-04-05,3.7270 
2011-04-06,3.7620 
2011-04-07,3.7490 
2011-04-08,3.7890 
2011-04-11,3.7840 
2011-04-12,3.7360 
2011-04-13,3.7530 
2011-04-14,3.7310 
2011-04-15,3.7040 
2011-04-18,3.6400 
2011-04-19,3.6230 
2011-04-20,3.6350 
2011-04-21,3.6090 
2011-04-22,3.6150 
2011-04-26,3.6120 
2011-04-27,3.6709 
2011-04-28,3.5940 
2011-04-29,3.6050 
2011-04-30,
2011-05-02,3.6150 
2011-05-03,3.6200 
2011-05-04,3.6600 
2011-05-05,3.5700 
2011-05-06,3.5320 
2011-05-09,3.4690 
2011-05-10,3.5120 
2011-05-11,3.5200 
2011-05-12,3.4810 
2011-05-13,3.4800 
2011-05-16,3.4900 
2011-05-17,3.4770 
2011-05-18,3.4918 
2011-05-19,3.5240 
2011-05-20,3.4660 
2011-05-23,3.4420 
2011-05-24,3.4700 
2011-05-25,3.4376 
2011-05-26,3.3770 
2011-05-27,3.3500 
2011-05-30,3.3650 
2011-05-31,3.4140 
2011-06-01,3.3550 
2011-06-02,3.3349 
2011-06-03,3.3720 
2011-06-06,3.3510 
2011-06-07,3.4180 
2011-06-08,3.4160 
2011-06-09,3.4710 
2011-06-10,3.4090 
2011-06-13,3.4253 
2011-06-14,3.4680 
2011-06-15,3.4480 
2011-06-16,3.4420 
2011-06-17,3.4420 
2011-06-20,3.4630 
2011-06-21,3.4830 
2011-06-22,3.4789 
2011-06-23,3.4070 
2011-06-24,3.3930 
2011-06-27,3.4390 
2011-06-28,3.4540 
