Date,10years
2011/9/19,
2011/9/20,
2011/9/21,
2011/9/22,8.3
2011/9/23,8.3
2011/9/26,8.31
2011/9/27,8.33
2011/9/28,8.35
2011/9/29,8.44
2011/10/3,8.54
2011/10/4,8.55
2011/10/5,8.58
2011/10/7,8.67
2011/10/10,8.75
2011/10/11,8.71
2011/10/12,8.74
2011/10/13,8.73
2011/10/14,8.78
2011/10/17,8.76
2011/10/18,8.75
2011/10/19,8.78
2011/10/20,8.79
2011/10/21,8.82
2011/10/24,8.82
2011/10/25,8.76
2011/10/28,8.85
2011/10/31,8.88
2011/11/1,8.95
2011/11/2,8.9
2011/11/3,8.9
2011/11/4,8.97
2011/11/8,9.03
2011/11/9,9.06
2011/11/11,9.05
2011/11/14,9.04
2011/11/15,8.97
2011/11/16,8.98
2011/11/17,8.84
2011/11/18,8.86
2011/11/21,8.84
2011/11/22,8.84
2011/11/23,8.81
2011/11/24,8.79
2011/11/25,8.81
2011/11/28,8.83
2011/11/29,8.83
2011/11/30,8.74
2011/12/1,8.7
2011/12/2,8.65
2011/12/5,8.58
2011/12/7,8.59
2011/12/8,8.52
2011/12/9,8.53
2011/12/12,8.45
2011/12/13,8.4
2011/12/14,8.49
2011/12/15,8.49
2011/12/16,8.38
2011/12/19,8.33
2011/12/20,8.28
2011/12/21,8.34
2011/12/22,8.33
2011/12/23,8.37
2011/12/26,8.49
2011/12/27,8.48
2011/12/28,8.48
2011/12/29,8.54
2011/12/30,8.56
2012/1/2,8.41
2012/1/3,8.36
2012/1/4,8.36
2012/1/5,8.33
2012/1/6,8.22
2012/1/9,8.2
2012/1/10,8.23
2012/1/11,8.23
2012/1/12,8.25
2012/1/13,8.19
2012/1/16,8.22
2012/1/17,8.22
2012/1/18,8.19
2012/1/19,8.17
2012/1/20,8.18
2012/1/23,8.17
2012/1/24,8.36
2012/1/25,8.31
2012/1/27,8.35
2012/1/30,8.28
2012/1/31,8.27
2012/2/1,8.14
2012/2/2,8.13
2012/2/3,8.16
2012/2/6,8.18
2012/2/7,8.19
2012/2/8,8.23
2012/2/9,8.27
2012/2/10,8.19
2012/2/11,8.2
2012/2/13,8.21
2012/2/14,8.18
2012/2/15,8.2
2012/2/16,8.2
2012/2/17,8.19
2012/2/18,8.19
2012/2/19,8.19
2012/2/21,8.17
2012/2/22,8.22
2012/2/23,8.2
2012/2/24,8.23
2012/2/25,8.23
2012/2/27,8.23
2012/2/28,8.21
2012/2/29,8.2
2012/3/1,8.24
2012/3/2,8.22
2012/3/3,8.23
2012/3/5,8.23
2012/3/6,8.23
2012/3/7,8.24
2012/3/8,8.24
2012/3/9,8.28
2012/3/10,8.29
2012/3/12,8.29
2012/3/13,8.32
2012/3/14,8.28
2012/3/15,8.36
2012/3/16,8.42
2012/3/17,8.43
2012/3/19,8.42
2012/3/20,8.41
2012/3/21,8.39
2012/3/22,8.38
2012/3/23,8.38
2012/3/26,8.47
2012/3/27,8.5
2012/3/28,8.62
2012/3/29,8.61
2012/3/30,8.57
2012/3/31,8.59
2012/4/3,8.74
2012/4/4,8.69
2012/4/5,8.69
2012/4/8,8.69
2012/4/9,8.63
2012/4/10,8.59
2012/4/11,8.55
2012/4/12,8.44
2012/4/13,8.47
2012/4/14,8.47
2012/4/16,8.46
2012/4/17,8.34
2012/4/18,8.36
2012/4/19,8.41
2012/4/20,8.54
2012/4/21,8.55
2012/4/23,8.57
2012/4/24,8.57
2012/4/25,8.63
2012/4/26,8.66
2012/4/27,8.65
2012/4/28,8.65
2012/4/30,8.67
2012/5/1,8.68
