Date,Australia,Brazil,Canada,Germany,France,Hongkong,Japan,Malaysia,US,India,Close
2011-09-22,4.085,12.3,2.02,1.68,2.56,1.47,0.986,3.79,1.72,8.3,10660.469727
2011-09-26,4.015,11.69,2.15,1.8,2.566,1.4,0.983,3.84,1.91,8.31,10328.469727
2011-09-27,4.2,11.68,2.2,1.88,2.6844,1.44,1.007,3.84,2.0,8.33,10448.660156
2011-09-28,4.29,11.66,2.19,1.96,2.665,1.41,1.012,3.84,2.03,8.35,10369.929688
2011-10-11,4.33,11.53,2.3,2.05,2.883,1.43,0.996,3.81,2.18,8.71,10065.469727
2011-10-13,4.46,11.6,2.29,2.17,2.954,1.51,1.022,3.81,2.19,8.73,10481.839844
2011-10-17,4.575,11.68,2.29,2.24,3.033,1.56,1.028,3.82,2.18,8.76,10513.490234
2011-10-18,4.465,11.68,2.31,2.0,3.143,1.49,1.028,3.82,2.19,8.75,10226.929688
2011-10-19,4.475,11.61,2.34,2.12,3.22,1.54,1.028,3.83,2.18,8.78,10105.740234
2011-10-20,4.43,11.62,2.31,2.03,3.188,1.51,1.014,3.83,2.2,8.79,9796.230469
2011-10-21,4.49,11.63,2.36,2.02,3.237,1.54,1.014,3.84,2.23,8.82,9697.209961
2011-10-24,4.5,11.57,2.36,2.04,3.271,1.49,1.029,3.83,2.25,8.82,9957.620117
2011-10-25,4.51,11.55,2.26,2.15,3.178,1.59,1.025,3.83,2.14,8.76,10203.400391
2011-10-28,4.545,11.51,2.43,2.25,3.167,1.72,1.05,3.85,2.34,8.85,10561.990234
2011-10-31,4.51,11.45,2.29,2.11,3.127,1.67,1.056,3.84,2.17,8.88,10480.910156
2011-11-01,4.405,11.44,2.15,1.85,2.964,1.57,1.032,3.84,2.01,8.95,10441.700195
2011-11-04,4.31,11.36,2.16,1.93,3.072,1.52,1.0,3.83,2.06,8.97,10699.490234
2011-11-08,4.215,11.18,2.18,1.83,3.078,1.46,0.992,3.83,2.1,9.03,10541.099609
2011-11-09,4.225,11.11,2.09,1.71,3.163,1.5,0.992,3.81,2.0,9.06,10625.879883
2011-11-14,4.21,11.32,2.11,1.84,3.458,1.5,0.99,3.8,2.04,9.04,10645.679688
2011-11-16,4.005,11.28,2.09,1.83,3.669,1.39,0.966,3.8,2.01,8.98,10313.330078
2011-11-17,4.07,11.1,2.1,1.76,3.618,1.36,0.972,3.8,1.96,8.84,10303.160156
2011-11-18,3.99,11.09,2.13,1.91,3.538,1.34,0.961,3.8,2.01,8.86,10025.169922
2011-11-21,4.01,11.17,2.1,1.88,3.45,1.34,0.972,3.8,1.97,8.84,10033.790039
2011-11-22,3.95,11.23,2.08,1.92,3.542,1.36,0.983,3.8,1.94,8.84,10028.200195
2011-11-25,3.85,11.15,2.11,2.19,3.719,1.33,1.043,3.81,1.97,8.81,9886.25
2011-11-29,3.97,11.23,2.13,2.32,3.578,1.4,1.08,3.81,2.0,8.83,10012.94043
2011-11-30,3.93,11.1,2.15,2.3,3.365,1.4,1.082,3.81,2.08,8.74,9693.389648
2011-12-01,4.005,11.16,2.13,2.28,3.158,1.41,1.082,3.8,2.11,8.7,9917.860352
2011-12-02,4.005,11.25,2.12,2.18,3.192,1.43,1.063,3.8,2.05,8.65,9808.230469
2011-12-05,3.96,11.28,2.09,2.19,3.148,1.43,1.045,3.8,2.04,8.58,9586.080078
2011-12-07,3.95,11.18,2.06,2.14,3.247,1.49,1.045,3.8,2.02,8.59,9606.25
2011-12-08,3.915,11.15,1.99,2.1,3.359,1.49,1.035,3.8,1.99,8.52,9580.519531
2011-12-09,3.795,11.17,2.06,2.05,3.282,1.46,1.012,3.8,2.07,8.53,9480.269531
2011-12-12,3.885,11.1,2.01,2.07,3.329,1.46,1.017,3.8,2.03,8.45,9376.280273
2011-12-13,3.805,11.11,1.98,2.05,3.291,1.45,0.998,3.8,1.96,8.4,9190.879883
2011-12-14,3.855,11.17,1.95,2.03,3.211,1.44,0.993,3.81,1.92,8.49,9093.030273
2011-12-15,3.725,11.25,1.93,1.93,3.107,1.41,0.982,3.8,1.92,8.49,8871.089844
2011-12-16,3.785,11.29,1.87,1.93,3.0609,1.46,0.984,3.8,1.86,8.38,9081.94043
2011-12-19,3.73,11.33,1.84,1.9,3.127,1.42,0.975,3.8,1.82,8.33,9054.080078
2011-12-20,3.73,11.26,1.93,1.92,3.103,1.45,0.981,3.8,1.94,8.28,9031.669922
