Date,Australia,US,EU,Hongkong,Japan,UK,Taiwan,India,Canada,Korea,Brazil,Malaysia,Close
2013-05-02,6.3675,6.2082,8.1784,0.80005,6.3807,9.6603,20.84,11.53,615.66,0.56,308.95,204.24,8718.200195
2013-05-03,6.3649,6.2152,8.1233,0.80095,6.3337,9.6566,20.84,11.51,614.03,0.56,307.89,204.14,8847.669922
2013-05-06,6.3875,6.2114,8.1556,0.80055,6.2685,9.6814,20.88,11.48,615.24,0.57,307.59,209.79,8997.080078
2013-05-07,6.3548,6.2083,8.1183,0.80005,6.2543,9.6502,20.86,11.44,616.67,0.57,308.41,209.77,9022.900391
2013-05-08,6.3002,6.198,8.1054,0.79859,6.2634,9.5945,20.86,11.44,616.7,0.57,307.74,209.46,9074.839844
2013-05-09,6.2922,6.1925,8.1496,0.79806,6.2507,9.6241,20.9,11.41,617.13,0.57,307.58,209.1,9050.080078
2013-05-10,6.2381,6.2016,8.0767,0.79918,6.1408,9.5765,20.81,11.36,613.92,0.56,306.47,207.8,9071.160156
2013-05-13,6.1872,6.2072,8.0473,0.79982,6.0793,9.5259,20.6,11.26,611.79,0.56,305.67,206.97,9014.280273
2013-05-14,6.1785,6.2035,8.0745,0.7993,6.0944,9.5069,20.61,11.27,612.61,0.56,307.44,208.01,8809.080078
2013-05-15,6.1398,6.207,8.0315,0.7997,6.0632,9.4564,20.59,11.26,607.18,0.56,305.55,206.9,8869.849609
2013-05-16,6.1431,6.2096,8.0017,0.80002,6.064,9.4641,20.58,11.27,609.52,0.56,305.51,206.98,9061.330078
2013-05-17,6.0858,6.1997,7.9871,0.79855,6.0534,9.47,20.48,11.27,606.72,0.55,305.1,206.05,9246.280273
2013-05-20,6.0352,6.1998,7.9528,0.79861,6.0212,9.4076,20.48,11.23,601.14,0.55,303.14,205.29,9307.150391
2013-05-21,6.0583,6.1911,7.9726,0.79754,6.0363,9.4396,20.54,11.18,602.29,0.55,302.6,205.84,9403.540039
2013-05-22,6.043,6.1904,8.0042,0.79763,6.0243,9.3846,20.6,11.14,601.79,0.56,302.93,205.33,9405.05957
2013-05-23,5.9737,6.1947,7.9484,0.79811,5.9797,9.3088,20.46,11.08,595.21,0.55,301.09,204.28,9265.679688
2013-05-24,5.9821,6.1867,7.9907,0.79694,6.0378,9.332,20.51,11.07,597.64,0.55,301.44,204.08,9304.860352
2013-05-27,5.9473,6.1811,7.9866,0.79619,6.1169,9.3539,20.45,11.05,597.75,0.55,300.25,203.81,9260.629883
2013-05-28,5.9309,6.1818,7.9693,0.79627,6.0765,9.3194,20.46,11.06,595.67,0.55,299.17,203.86,9441.69043
2013-05-29,5.9084,6.1856,7.9516,0.79667,6.0365,9.2973,20.46,11.0,593.53,0.55,297.0,202.89,9404.400391
2013-05-30,5.9329,6.182,7.9973,0.79626,6.0982,9.3463,20.45,10.96,596.41,0.55,291.95,201.23,9379.19043
2013-05-31,5.9625,6.1796,8.0622,0.79599,6.0997,9.414,20.47,10.94,599.57,0.55,292.09,201.62,9257.950195
2013-06-03,5.9375,6.1806,8.0363,0.79614,6.1434,9.4025,20.48,10.91,595.76,0.55,287.86,200.29,9251.240234
2013-06-04,6.0152,6.1735,8.0728,0.79529,6.1935,9.4649,20.5,10.86,600.13,0.55,290.06,200.35,9124.269531
2013-06-05,5.9448,6.1757,8.0707,0.79572,6.1494,9.4476,20.49,10.89,595.83,0.55,289.55,200.06,9143.44043
2013-06-06,5.8514,6.1737,8.0752,0.79555,6.2099,9.4985,20.55,10.86,596.8,0.55,289.42,200.55,9001.089844
2013-06-07,5.8839,6.162,8.1588,0.79381,6.3246,9.6096,20.65,10.85,601.18,0.56,289.33,201.13,8763.610352
2013-06-13,5.8345,6.1612,8.2304,0.79347,6.4521,9.6626,20.49,10.66,604.92,0.54,286.24,196.73,8432.419922
2013-06-14,5.9056,6.1607,8.2319,0.79345,6.4781,9.6769,20.54,10.64,608.21,0.55,290.94,198.63,8479.459961
2013-06-17,5.9055,6.1598,8.2166,0.79371,6.506,9.6801,20.51,10.7,607.61,0.55,286.34,198.51,8404.5
2013-06-18,5.8806,6.1651,8.239,0.79454,6.4927,9.6903,20.51,10.61,605.64,0.55,283.72,196.46,8470.870117
2013-06-19,5.824,6.1677,8.2626,0.79493,6.447,9.6398,20.51,10.48,603.96,0.54,282.61,195.85,8421.240234
2013-06-20,5.7368,6.1698,8.2015,0.7953,6.4005,9.5512,20.47,10.48,600.32,0.54,276.68,193.5,8147.47998
2013-06-21,5.6784,6.1766,8.1639,0.79645,6.338,9.5706,20.4,10.35,595.8,0.54,273.0,193.5,8136.049805
2013-06-24,5.6999,6.1807,8.101,0.79671,6.2741,9.514,20.4,10.4,589.7,0.54,274.88,193.03,7588.52002
2013-06-25,5.7085,6.1767,8.106,0.79614,6.3147,9.5411,20.39,10.33,589.08,0.53,277.03,193.33,7495.100098
2013-06-26,5.7145,6.1779,8.0829,0.79639,6.2924,9.5226,20.44,10.35,589.02,0.54,279.06,194.94,7566.399902
2013-06-27,5.7316,6.1797,8.0457,0.79652,6.3188,9.4704,20.44,10.18,593.11,0.54,282.33,194.95,7544.330078
2013-06-28,5.7061,6.1787,8.0536,0.79655,6.2607,9.4213,20.48,10.28,591.02,0.54,281.23,195.26,7694.470215
2013-07-01,5.6443,6.1805,8.0424,0.79676,6.2131,9.3975,20.47,10.35,587.8,0.54,276.28,195.36,7718.47998
2013-07-02,5.6983,6.1773,8.0691,0.79645,6.1921,9.4,20.47,10.38,587.55,0.54,276.91,195.48,7768.839844
2013-07-03,5.6416,6.1803,8.0152,0.79704,6.1297,9.3604,20.41,10.34,586.36,0.54,273.97,194.63,7703.740234
2013-07-04,5.6097,6.1755,8.0315,0.79644,6.174,9.4275,20.39,10.22,587.61,0.54,271.82,194.56,7804.109863
2013-07-05,5.6143,6.179,7.9706,0.79689,6.154,9.2972,20.4,10.25,586.76,0.54,274.12,194.52,7856.589844
2013-07-08,5.5854,6.1807,7.9271,0.79705,6.088,9.1969,20.36,10.23,584.49,0.54,273.83,193.28,7637.629883
2013-07-09,5.6531,6.173,7.9308,0.79595,6.1031,9.2107,20.37,10.15,584.72,0.54,272.21,193.51,7600.470215
2013-07-10,5.6512,6.1652,7.8751,0.79484,6.098,9.1562,20.37,10.25,586.4,0.54,272.97,194.57,7851.25
2013-07-11,5.6736,6.1599,8.0704,0.79416,6.1836,9.3113,20.48,10.3,593.22,0.55,271.27,195.79,8184.77002
2013-07-12,5.6547,6.1631,8.0727,0.79458,6.2191,9.3553,20.54,10.31,596.29,0.55,273.71,195.82,8012.839844
2013-07-15,5.5869,6.1663,8.0529,0.79484,6.2035,9.316,20.53,10.29,594.8,0.55,271.84,194.71,8137.77002
2013-07-16,5.6176,6.1692,8.0594,0.79518,6.1625,9.3173,20.58,10.31,592.23,0.55,278.03,195.1,8186.680176
2013-07-17,5.6887,6.1652,8.102,0.7947,6.2052,9.3175,20.6,10.4,594.61,0.55,273.81,194.09,8063.799805
2013-07-18,5.683,6.172,8.0974,0.79562,6.1865,9.3901,20.55,10.41,593.76,0.55,277.36,194.39,7904.27002
