Date,Australia,US,EU,Hongkong,Japan,UK,Taiwan,India,Canada,Korea,Brazil,Malaysia
1994-01-01,,8.7000 ,,1.12660 ,7.7800 ,,,,,,,
1994-01-03,,8.7000 ,,1.12660 ,7.7800 ,,,,,,,
1994-01-04,,8.7000 ,,1.12660 ,7.7196 ,,,,,,,
1994-01-05,,8.7000 ,,1.12660 ,7.7196 ,,,,,,,
1994-01-06,,8.7000 ,,1.12660 ,7.7196 ,,,,,,,
1994-01-07,,8.6900 ,,1.12660 ,7.7196 ,,,,,,,
1994-01-08,,8.7000 ,,1.12660 ,7.7196 ,,,,,,,
1994-01-10,,8.7000 ,,1.12660 ,7.7196 ,,,,,,,
1994-01-11,,8.7000 ,,1.12660 ,7.7196 ,,,,,,,
1994-01-12,,8.7000 ,,1.12660 ,7.7196 ,,,,,,,
1994-01-13,,8.7000 ,,1.12660 ,7.7196 ,,,,,,,
1994-01-14,,8.7000 ,,1.12660 ,7.7196 ,,,,,,,
1994-01-15,,8.7000 ,,1.12660 ,7.8414 ,,,,,,,
1994-01-17,,8.7000 ,,1.12660 ,7.8414 ,,,,,,,
1994-01-18,,8.7000 ,,1.12660 ,7.8414 ,,,,,,,
1994-01-19,,8.7000 ,,1.12660 ,7.8414 ,,,,,,,
1994-01-20,,8.7000 ,,1.12660 ,7.8414 ,,,,,,,
1994-01-21,,8.7000 ,,1.12660 ,7.8414 ,,,,,,,
1994-01-22,,8.7000 ,,1.12660 ,7.7957 ,,,,,,,
1994-01-24,,8.7000 ,,1.12660 ,7.7957 ,,,,,,,
1994-01-25,,8.7100 ,,1.12660 ,7.7957 ,,,,,,,
1994-01-26,,8.7000 ,,1.12660 ,7.8424 ,,,,,,,
1994-01-27,,8.7000 ,,1.12660 ,7.9023 ,,,,,,,
1994-01-28,,8.7000 ,,1.12660 ,8.0111 ,,,,,,,
1994-01-29,,8.7000 ,,1.12660 ,7.9235 ,,,,,,,
1994-01-31,,8.7000 ,,1.12660 ,7.9235 ,,,,,,,
1994-02-01,,8.6994 ,,1.12660 ,8.0142 ,,,,,,,
1994-02-02,,8.7010 ,,1.12660 ,8.0831 ,,,,,,,
1994-02-03,,8.7034 ,,1.12660 ,8.0831 ,,,,,,,
1994-02-04,,8.7010 ,,1.12630 ,8.0831 ,,,,,,,
1994-02-05,,8.7005 ,,1.12640 ,7.9638 ,,,,,,,
1994-02-07,,8.7005 ,,1.12640 ,7.9638 ,,,,,,,
1994-02-08,,8.7074 ,,1.12640 ,8.0179 ,,,,,,,
1994-02-09,,8.7074 ,,1.12640 ,8.0179 ,,,,,,,
1994-02-15,,8.7074 ,,1.12640 ,8.5200 ,,,,,,,
1994-02-16,,8.7024 ,,1.12530 ,8.3822 ,,,,,,,
1994-02-17,,8.7065 ,,1.12580 ,8.3822 ,,,,,,,
1994-02-18,,8.7020 ,,1.12520 ,8.3822 ,,,,,,,
1994-02-19,,8.6988 ,,1.12480 ,8.3138 ,,,,,,,
1994-02-21,,8.6988 ,,1.12490 ,8.3138 ,,,,,,,
1994-02-22,,8.6995 ,,1.12490 ,8.3138 ,,,,,,,
1994-02-23,,8.6966 ,,1.12530 ,8.2397 ,,,,,,,
1994-02-24,,8.7022 ,,1.12580 ,8.2397 ,,,,,,,
1994-02-25,,8.6947 ,,1.12500 ,8.2886 ,,,,,,,
1994-02-26,,8.7044 ,,1.12570 ,8.2886 ,,,,,,,
1994-02-28,,8.7044 ,,1.12570 ,8.2886 ,,,,,,,
1994-03-01,,8.7020 ,,1.12600 ,8.2886 ,,,,,,,
1994-03-02,,8.7050 ,,1.12650 ,8.2886 ,,,,,,,
1994-03-03,,8.7060 ,,1.12660 ,8.2886 ,,,,,,,
1994-03-04,,8.7062 ,,1.12660 ,8.3794 ,,,,,,,
1994-03-05,,8.7066 ,,1.12670 ,8.2449 ,,,,,,,
1994-03-07,,8.7066 ,,1.12670 ,8.2449 ,,,,,,,
1994-03-08,,8.7050 ,,1.12650 ,8.2449 ,,,,,,,
1994-03-09,,8.7038 ,,1.12630 ,8.2449 ,,,,,,,
1994-03-10,,8.7003 ,,1.12590 ,8.2449 ,,,,,,,
1994-03-11,,8.7038 ,,1.12650 ,8.2449 ,,,,,,,
1994-03-12,,8.7005 ,,1.12600 ,8.2862 ,,,,,,,
1994-03-14,,8.7005 ,,1.12600 ,8.2862 ,,,,,,,
1994-03-15,,8.7000 ,,1.12600 ,8.1940 ,,,,,,,
1994-03-16,,8.7007 ,,1.12620 ,8.1940 ,,,,,,,
1994-03-17,,8.7002 ,,1.12620 ,8.1940 ,,,,,,,
1994-03-18,,8.6991 ,,1.12600 ,8.1940 ,,,,,,,
1994-03-19,,8.6992 ,,1.12600 ,8.1940 ,,,,,,,
1994-03-21,,8.6992 ,,1.12600 ,8.1940 ,,,,,,,
1994-03-22,,8.6978 ,,1.12540 ,8.1940 ,,,,,,,
1994-03-23,,8.6993 ,,1.12580 ,8.1940 ,,,,,,,
1994-03-24,,8.7055 ,,1.12690 ,8.1940 ,,,,,,,
1994-03-25,,8.7012 ,,1.12640 ,8.3225 ,,,,,,,
1994-03-26,,8.7016 ,,1.12650 ,8.3225 ,,,,,,,
1994-03-28,,8.7016 ,,1.12650 ,8.3225 ,,,,,,,
1994-03-29,,8.7024 ,,1.12650 ,8.3637 ,,,,,,,
1994-03-30,,8.7002 ,,1.12620 ,8.4366 ,,,,,,,
1994-03-31,,8.7080 ,,1.12710 ,8.4366 ,,,,,,,
1994-04-01,,8.6987 ,,1.12590 ,8.4589 ,,,,,,,
1994-04-04,,8.6988 ,,1.12580 ,8.4701 ,,,,,,,
1994-04-05,,8.6967 ,,1.12560 ,8.3884 ,,,,,,,
1994-04-06,,8.6999 ,,1.12750 ,8.4346 ,,,,,,,
1994-04-07,,8.6982 ,,1.12580 ,8.3368 ,,,,,,,
1994-04-08,,8.6999 ,,1.12560 ,8.3213 ,,,,,,,
1994-04-11,,8.7001 ,,1.12580 ,8.3368 ,,,,,,,
1994-04-12,,8.6991 ,,1.12580 ,8.2648 ,,,,,,,
1994-04-13,,8.6992 ,,1.12580 ,8.4091 ,,,,,,,
1994-04-14,,8.6982 ,,1.12580 ,8.3899 ,,,,,,,
1994-04-15,,8.6971 ,,1.12550 ,8.4193 ,,,,,,,
1994-04-18,,8.6961 ,,1.12560 ,8.3404 ,,,,,,,
1994-04-19,,8.6952 ,,1.12560 ,8.4056 ,,,,,,,
1994-04-20,,8.6945 ,,1.12540 ,8.4249 ,,,,,,,
1994-04-21,,8.6937 ,,1.12540 ,8.4282 ,,,,,,,
1994-04-22,,8.6925 ,,1.12550 ,8.4447 ,,,,,,,
1994-04-25,,8.6925 ,,1.12550 ,8.3840 ,,,,,,,
1994-04-26,,8.6909 ,,1.12510 ,8.3824 ,,,,,,,
1994-04-27,,8.6894 ,,1.12500 ,8.4322 ,,,,,,,
1994-04-28,,8.6877 ,,1.12500 ,8.4507 ,,,,,,,
1994-04-29,,8.6872 ,,1.12490 ,8.4894 ,,,,,,,
1994-05-03,,8.6847 ,,1.12430 ,8.5754 ,,,,,,,
1994-05-04,,8.6784 ,,1.12220 ,8.5388 ,,,,,,,
1994-05-05,,8.6736 ,,1.12270 ,8.5877 ,,,,,,,
1994-05-06,,8.6682 ,,1.12250 ,8.5112 ,,,,,,,
1994-05-09,,8.6664 ,,1.12150 ,8.4275 ,,,,,,,
1994-05-10,,8.6653 ,,1.12160 ,8.4568 ,,,,,,,
1994-05-11,,8.6640 ,,1.12110 ,8.4239 ,,,,,,,
1994-05-12,,8.6629 ,,1.12110 ,8.2966 ,,,,,,,
1994-05-13,,8.6620 ,,1.12100 ,8.3089 ,,,,,,,
1994-05-16,,8.6610 ,,1.12120 ,8.3099 ,,,,,,,
1994-05-17,,8.6606 ,,1.12100 ,8.2454 ,,,,,,,
1994-05-18,,8.6607 ,,1.12100 ,8.2680 ,,,,,,,
1994-05-19,,8.6605 ,,1.12090 ,8.2856 ,,,,,,,
1994-05-20,,8.6604 ,,1.12100 ,8.3675 ,,,,,,,
1994-05-23,,8.6602 ,,1.12100 ,8.3072 ,,,,,,,
1994-05-24,,8.6604 ,,1.12100 ,8.3153 ,,,,,,,
1994-05-25,,8.6602 ,,1.12110 ,8.2964 ,,,,,,,
1994-05-26,,8.6602 ,,1.12100 ,8.2703 ,,,,,,,
1994-05-27,,8.6600 ,,1.12100 ,8.2911 ,,,,,,,
1994-05-30,,8.6598 ,,1.12090 ,8.2774 ,,,,,,,
1994-05-31,,8.6597 ,,1.12060 ,8.3047 ,,,,,,,
1994-06-01,,8.6596 ,,1.12080 ,8.2855 ,,,,,,,
1994-06-02,,8.6594 ,,1.12070 ,8.2644 ,,,,,,,
1994-06-03,,8.6591 ,,1.12040 ,8.2862 ,,,,,,,
1994-06-06,,8.6591 ,,1.12070 ,8.2625 ,,,,,,,
1994-06-07,,8.6590 ,,1.12050 ,8.2165 ,,,,,,,
1994-06-08,,8.6590 ,,1.12050 ,8.2232 ,,,,,,,
1994-06-09,,8.6588 ,,1.12040 ,8.3078 ,,,,,,,
1994-06-10,,8.6585 ,,1.12030 ,8.3295 ,,,,,,,
1994-06-13,,8.6583 ,,1.12020 ,8.3265 ,,,,,,,
1994-06-14,,8.6581 ,,1.12020 ,8.3633 ,,,,,,,
1994-06-15,,8.6579 ,,1.11990 ,8.4221 ,,,,,,,
1994-06-16,,8.6575 ,,1.11980 ,8.4274 ,,,,,,,
1994-06-17,,8.6573 ,,1.11930 ,8.4297 ,,,,,,,
1994-07-01,,8.6517 ,,1.11960 ,8.7612 ,,,,,,,
1994-07-04,,8.6510 ,,1.11950 ,8.7850 ,,,,,,,
1994-07-05,,8.6500 ,,1.11940 ,8.7684 ,,,,,,,
1994-07-06,,8.6496 ,,1.11930 ,8.7680 ,,,,,,,
1994-07-07,,8.6490 ,,1.11930 ,8.7430 ,,,,,,,
1994-07-08,,8.6481 ,,1.11920 ,8.7443 ,,,,,,,
1994-07-11,,8.6474 ,,1.11910 ,8.7702 ,,,,,,,
1994-07-12,,8.6466 ,,1.11890 ,8.8181 ,,,,,,,
1994-07-13,,8.6458 ,,1.11880 ,8.8471 ,,,,,,,
1994-07-14,,8.6447 ,,1.11850 ,8.8823 ,,,,,,,
1994-07-15,,8.6437 ,,1.11840 ,8.7999 ,,,,,,,
1994-07-18,,8.6429 ,,1.11830 ,8.7661 ,,,,,,,
1994-07-19,,8.6418 ,,1.11840 ,8.8348 ,,,,,,,
1994-07-20,,8.6408 ,,1.11850 ,8.7804 ,,,,,,,
1994-07-21,,8.6389 ,,1.11810 ,8.7086 ,,,,,,,
1994-07-22,,8.6364 ,,1.11800 ,8.7515 ,,,,,,,
1994-07-25,,8.6335 ,,1.11770 ,8.7075 ,,,,,,,
1994-07-26,,8.6295 ,,1.11710 ,8.7211 ,,,,,,,
1994-07-27,,8.6264 ,,1.11670 ,8.7533 ,,,,,,,
1994-07-28,,8.6238 ,,1.11620 ,8.7774 ,,,,,,,
1994-07-29,,8.6214 ,,1.11630 ,8.7594 ,,,,,,,
1994-08-01,,8.6197 ,,1.11580 ,8.6154 ,,,,,,,
1994-08-02,,8.6169 ,,1.11530 ,8.6212 ,,,,,,,
1994-08-03,,8.6141 ,,1.11500 ,8.6622 ,,,,,,,
1994-08-04,,8.6114 ,,1.11450 ,8.5822 ,,,,,,,
1994-08-05,,8.6088 ,,1.11410 ,8.5852 ,,,,,,,
1994-08-08,,8.6055 ,,1.11390 ,8.5648 ,,,,,,,
1994-08-09,,8.6023 ,,1.11360 ,8.5851 ,,,,,,,
1994-08-10,,8.6003 ,,1.11320 ,8.4732 ,,,,,,,
1994-08-11,,8.5982 ,,1.11280 ,8.4883 ,,,,,,,
1994-08-12,,8.5962 ,,1.11270 ,8.4754 ,,,,,,,
1994-08-15,,8.5938 ,,1.11240 ,8.5831 ,,,,,,,
1994-08-16,,8.5912 ,,1.11190 ,8.5766 ,,,,,,,
1994-08-17,,8.5887 ,,1.11150 ,8.5776 ,,,,,,,
1994-08-18,,8.5856 ,,1.11120 ,8.5442 ,,,,,,,
1994-08-19,,8.5831 ,,1.11080 ,8.5617 ,,,,,,,
1994-08-22,,8.5801 ,,1.11030 ,8.7024 ,,,,,,,
1994-08-23,,8.5774 ,,1.10980 ,8.6926 ,,,,,,,
1994-08-24,,8.5758 ,,1.10980 ,8.7642 ,,,,,,,
1994-08-25,,8.5735 ,,1.10920 ,8.7650 ,,,,,,,
1994-08-26,,8.5708 ,,1.10900 ,8.6587 ,,,,,,,
1994-08-29,,8.5675 ,,1.10830 ,8.5868 ,,,,,,,
1994-08-30,,8.5643 ,,1.10770 ,8.5259 ,,,,,,,
1994-08-31,6.3685 ,8.5616 ,,1.10770 ,8.5616 ,13.1592 ,,,,,,
1994-09-01,6.3701 ,8.5591 ,,1.10750 ,8.5922 ,13.1297 ,,,,,,
1994-09-02,6.3665 ,8.5565 ,,1.10720 ,8.5407 ,13.1214 ,,,,,,
1994-09-05,6.3620 ,8.5540 ,,1.10690 ,8.5759 ,13.2189 ,,,,,,
1994-09-06,6.3488 ,8.5511 ,,1.10670 ,8.6266 ,13.2328 ,,,,,,
1994-09-07,6.3473 ,8.5491 ,,1.10650 ,8.6246 ,13.2297 ,,,,,,
1994-09-08,6.3346 ,8.5470 ,,1.10600 ,8.6639 ,13.2692 ,,,,,,
1994-09-09,6.3586 ,8.5448 ,,1.10570 ,8.5921 ,13.1974 ,,,,,,
1994-09-10,6.3755 ,8.5422 ,,1.10540 ,8.5765 ,13.1849 ,,,,,,
1994-09-13,6.3650 ,8.5407 ,,1.10530 ,8.6118 ,13.2594 ,,,,,,
1994-09-14,6.3436 ,8.5396 ,,1.10510 ,8.6128 ,13.4114 ,,,,,,
1994-09-15,6.3506 ,8.5381 ,,1.10500 ,8.6387 ,13.3536 ,,,,,,
1994-09-16,6.3430 ,8.5365 ,,1.10480 ,8.6053 ,13.3682 ,,,,,,
1994-09-17,6.3412 ,8.5352 ,,1.10460 ,8.5824 ,13.3320 ,,,,,,
1994-09-20,6.3540 ,8.5340 ,,1.10440 ,8.6246 ,13.4752 ,,,,,,
1994-09-21,6.3401 ,8.5337 ,,1.10430 ,8.6681 ,13.4064 ,,,,,,
1994-09-22,6.3373 ,8.5333 ,,1.10430 ,8.7297 ,13.4387 ,,,,,,
1994-09-23,6.2658 ,8.5325 ,,1.10420 ,8.7289 ,13.4686 ,,,,,,
1994-09-24,6.2774 ,8.5320 ,,1.10410 ,8.7017 ,13.4379 ,,,,,,
1994-09-27,6.3326 ,8.5311 ,,1.10400 ,8.7208 ,13.4535 ,,,,,,
1994-09-28,6.3086 ,8.5303 ,,1.10390 ,8.6383 ,13.4096 ,,,,,,
1994-09-29,6.3086 ,8.5303 ,,1.10390 ,8.6510 ,13.4650 ,,,,,,
1994-09-30,6.3072 ,8.5301 ,,1.10390 ,8.6163 ,13.4315 ,,,,,,
1994-10-01,6.3067 ,8.5300 ,,1.10380 ,8.6511 ,13.4616 ,,,,,,
1994-10-06,6.3084 ,8.5301 ,,1.10380 ,8.5618 ,13.4904 ,,,,,,
1994-10-07,6.3182 ,8.5300 ,,1.10380 ,8.5638 ,13.5243 ,,,,,,
1994-10-08,6.3054 ,8.5300 ,,1.10380 ,8.5441 ,13.5691 ,,,,,,
1994-10-11,6.2979 ,8.5297 ,,1.10380 ,8.4784 ,13.5324 ,,,,,,
1994-10-12,6.2979 ,8.5297 ,,1.10380 ,8.4978 ,13.5221 ,,,,,,
1994-10-13,6.2754 ,8.5298 ,,1.10370 ,8.5128 ,13.4728 ,,,,,,
1994-10-14,6.2800 ,8.5297 ,,1.10380 ,8.5511 ,13.4953 ,,,,,,
1994-10-15,6.2800 ,8.5297 ,,1.10380 ,8.5816 ,13.5580 ,,,,,,
1994-10-18,6.2752 ,8.5296 ,,1.10380 ,8.6992 ,13.6132 ,,,,,,
1994-10-19,6.2825 ,8.5296 ,,1.10390 ,8.7349 ,13.7369 ,,,,,,
1994-10-20,6.2888 ,8.5295 ,,1.10380 ,8.7281 ,13.7581 ,,,,,,
1994-10-21,6.2815 ,8.5295 ,,1.10390 ,8.7639 ,13.8395 ,,,,,,
1994-10-22,6.2436 ,8.5295 ,,1.10390 ,8.7888 ,13.9159 ,,,,,,
1994-10-25,6.2466 ,8.5290 ,,1.10370 ,8.7715 ,13.8682 ,,,,,,
1994-10-26,6.2748 ,8.5285 ,,1.10370 ,8.7787 ,13.9228 ,,,,,,
1994-10-27,6.2878 ,8.5282 ,,1.10360 ,8.8079 ,13.9521 ,,,,,,
1994-10-28,6.3341 ,8.5273 ,,1.10350 ,8.8065 ,13.9677 ,,,,,,
1994-10-29,6.3400 ,8.5266 ,,1.10340 ,8.7903 ,13.9495 ,,,,,,
1994-11-01,6.3327 ,8.5260 ,,1.10330 ,8.7644 ,13.8462 ,,,,,,
1994-11-02,6.3322 ,8.5254 ,,1.10330 ,8.7981 ,13.9429 ,,,,,,
1994-11-03,6.3147 ,8.5248 ,,1.10320 ,8.8203 ,13.9253 ,,,,,,
1994-11-04,6.3302 ,8.5238 ,,1.10300 ,8.7289 ,13.8341 ,,,,,,
1994-11-05,6.3302 ,8.5227 ,,1.10250 ,8.7202 ,13.7850 ,,,,,,
1994-11-08,6.4037 ,8.5218 ,,1.10250 ,8.7448 ,13.7712 ,,,,,,
1994-11-09,6.4130 ,8.5208 ,,1.10250 ,8.7532 ,13.7569 ,,,,,,
1994-11-10,6.4122 ,8.5200 ,,1.10240 ,8.7745 ,13.7897 ,,,,,,
